Nationality ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
3,"10,455","7,159","7,916","9,671","7,093","8,231","12,369","13,846","15,461","16,243","19,824"
3_1,2.9,2.6,2.3,2.5,1.9,2.1,2.3,2.8,3,2.7,2.7
14,"4,164","3,140","3,025","4,341","3,007","3,474","4,473","3,540","3,245","3,389","3,998"
14_1,1.2,1.1,0.9,1.1,0.8,0.9,0.8,0.7,0.6,0.6,0.5
7,"7,068","3,747","4,154","4,825","4,168","4,733","7,399","8,132","8,965","9,322","11,404"
7_1,2,1.4,1.2,1.3,1.1,1.2,1.4,1.6,1.8,1.5,1.5
81,"8,738","8,715","7,562","13,326","22,377","17,538","28,618","35,166","32,272","46,360","61,917"
81_1,2.4,3.2,2.2,3.5,6,4.6,5.4,7,6.3,7.7,8.4
15,"3,854","2,040","2,178","2,633","1,770","1,956","3,157","3,847","4,464","4,359","6,138"
15_1,1.1,0.7,0.6,0.7,0.5,0.5,0.6,0.8,0.9,0.7,0.8
16,"21,187","13,376","15,865","18,938","14,108","14,835","20,250","22,402","22,154","24,550","26,720"
16_1,5.9,4.9,4.7,4.9,3.8,3.9,3.8,4.5,4.3,4.1,3.6
21,"21,577","15,774","14,866","16,025","14,345","14,361","21,323","18,552","19,246","22,583","27,472"
21_1,6,5.7,4.4,4.2,3.8,3.7,4,3.7,3.8,3.7,3.7
126,"64,320","66,777","86,363","90,326","95,685","93,722","96,010","91,177","93,884","120,898","149,504"
126_1,17.8,24.2,25.5,23.4,25.5,24.4,18.2,18.2,18.4,20.1,20.3
17,"8,745","8,057","8,243","12,376","8,785","7,736","11,243","7,914","7,982","10,226","12,621"
17_1,2.4,2.9,2.4,3.2,2.3,2,2.1,1.6,1.6,1.7,1.7
7,"28,830","23,223","27,412","24,231","18,239","22,242","27,058","23,383","22,445","23,332","26,283"
7_1,8,8.4,8.1,6.3,4.9,5.8,5.1,4.7,4.4,3.9,3.6
11,"13,662","8,306","8,443","11,160","8,947","7,207","10,589","10,900","11,147","13,471","16,836"
11_1,3.8,3,2.5,2.9,2.4,1.9,2,2.2,2.2,2.2,2.3
20,"5,897","5,267","8,265","11,767","8,891","10,377","15,672","13,851","13,006","13,712","16,037"
20_1,1.6,1.9,2.4,3.1,2.4,2.7,3,2.8,2.6,2.3,2.2
9,"5,649","3,352","3,246","3,788","3,163","3,559","5,238","5,186","5,281","5,320","11,020"
9_1,1.6,1.2,1,1,0.8,0.9,1,1,1,0.9,1.5
93,"9,844","9,805","13,930","16,124","18,770","27,413","49,947","37,817","36,362","45,531","59,884"
93_1,2.7,3.6,4.1,4.2,5,7.1,9.5,7.6,7.1,7.6,8.1
8,"32,052","17,518","18,838","20,680","18,539","19,833","29,783","30,076","32,043","36,425","42,875"
8_1,8.9,6.4,5.6,5.4,4.9,5.2,5.7,6,6.3,6,5.8
18,"33,533","21,007","22,101","24,667","25,151","22,708","32,367","33,658","35,382","35,091","39,091"
18_1,9.3,7.6,6.5,6.4,6.7,5.9,6.1,6.7,6.9,5.8,5.3
500,"81,662","58,205","85,725","100,419","102,360","99,996","147,694","136,823","140,574","168,590","179,158"
500_1,22.6,21.1,25.4,26.1,27.3,26,28,27.3,27.6,28,24.3
1000,         -    ,         -    ,         -    ,         -    ,         -    ,"4,005","3,515","4,007","6,043","3,465","25,433"
1000_1,         -    ,         -    ,         -    ,         -    ,         -    ,1,0.7,0.8,1.2,0.6,3.5
Total ,"361,237","275,468","338,132","385,297","375,398","383,926","526,705","500,277","509,956","602,867","736,215"
% ,100,100,100,100,100,100,100,100,100,100,100
