Nationality ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
3,2.9,2.6,2.3,2.5,1.9,2.1,2.3,2.8,3,2.7,2.7
14,1.2,1.1,0.9,1.1,0.8,0.9,0.8,0.7,0.6,0.6,0.5
7,2,1.4,1.2,1.3,1.1,1.2,1.4,1.6,1.8,1.5,1.5
81,2.4,3.2,2.2,3.5,6,4.6,5.4,7,6.3,7.7,8.4
15,1.1,0.7,0.6,0.7,0.5,0.5,0.6,0.8,0.9,0.7,0.8
16,5.9,4.9,4.7,4.9,3.8,3.9,3.8,4.5,4.3,4.1,3.6
21,6,5.7,4.4,4.2,3.8,3.7,4,3.7,3.8,3.7,3.7
126,17.8,24.2,25.5,23.4,25.5,24.4,18.2,18.2,18.4,20.1,20.3
17,2.4,2.9,2.4,3.2,2.3,2,2.1,1.6,1.6,1.7,1.7
7,8,8.4,8.1,6.3,4.9,5.8,5.1,4.7,4.4,3.9,3.6
11,3.8,3,2.5,2.9,2.4,1.9,2,2.2,2.2,2.2,2.3
20,1.6,1.9,2.4,3.1,2.4,2.7,3,2.8,2.6,2.3,2.2
9,1.6,1.2,1,1,0.8,0.9,1,1,1,0.9,1.5
93,2.7,3.6,4.1,4.2,5,7.1,9.5,7.6,7.1,7.6,8.1
8,8.9,6.4,5.6,5.4,4.9,5.2,5.7,6,6.3,6,5.8
18,9.3,7.6,6.5,6.4,6.7,5.9,6.1,6.7,6.9,5.8,5.3
500,22.6,21.1,25.4,26.1,27.3,26,28,27.3,27.6,28,24.3
1000,         -    ,         -    ,         -    ,         -    ,         -    ,1,0.7,0.8,1.2,0.6,3.5
